city,state,country
Visakhapatnam,Andhra Pradesh,India
Itanagar,Arunachal Pradesh,India
Guwahati,Assam,India
Patna,Bihar,India
Raipur,Chhattisgarh,India
Panaji,Goa,India
Ahmedabad,Gujarat,India
Gurugram,Haryana,India
Shimla,Himachal Pradesh,India
Ranchi,Jharkhand,India
Bengaluru,Karnataka,India
Kochi,Kerala,India
Bhopal,Madhya Pradesh,India
Mumbai,Maharashtra,India
Imphal,Manipur,India
Shillong,Meghalaya,India
Aizawl,Mizoram,India
Kohima,Nagaland,India
Bhubaneswar,Odisha,India
Ludhiana,Punjab,India
Jaipur,Rajasthan,India
Gangtok,Sikkim,India
Chennai,Tamil Nadu,India
Hyderabad,Telangana,India
Agartala,Tripura,India
Lucknow,Uttar Pradesh,India
Dehradun,Uttarakhand,India
Kolkata,West Bengal,India
Port Blair,Andaman and Nicobar Islands,India
Chandigarh,Chandigarh,India
Daman,Dadra and Nagar Haveli and Daman and Diu,India
New Delhi,Delhi,India
Srinagar,Jammu and Kashmir,India
Leh,Ladakh,India
Kavaratti,Lakshadweep,India
Puducherry,Puducherry,India
